"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.5275248	0.4652222	0.5003080	0.1473837	0.1169276	0.1082563	0.3160313	0.3683039	0.3387848	0.9225850
100	0.6251875	0.2330521	0.2542030	0.2155616	0.0838952	0.0212398	0.7133107	0.1999177	0.2788752	1.1699493
200	0.3492573	0.2731596	0.0766364	0.5229227	0.0436779	0.1782805	0.7944031	0.1602028	0.0997849	0.8705356
300	0.2718780	0.3515562	0.2320598	0.3566584	0.0277394	0.1313436	0.8009671	0.1443859	0.0819344	0.8520000
400	0.3518621	0.3193346	0.0691556	0.3529726	0.0311103	0.1111196	0.9434188	0.1598186	0.0806412	1.0190235
500	0.3310939	0.2496490	0.0848517	0.4713586	0.0179817	0.1544768	0.8440581	0.1758052	0.1247040	0.8793856
600	0.4772115	0.3128588	0.1676259	0.2915776	0.0223689	0.0529767	1.1572313	0.2281070	0.0952062	0.9007795
700	0.3337715	0.2089409	0.0978237	0.4008648	0.0346589	0.1072158	1.0863263	0.1583265	0.1330495	1.0236916
800	0.4296717	0.6868761	0.2695050	0.1675655	0.0427138	0.1623143	0.3565712	0.2938708	0.2952767	0.9830131
900	0.6464614	0.5801019	0.5562225	0.1337027	0.1211999	0.2026641	0.2675390	0.3835447	0.4449003	0.8830538
1000	0.7651754	0.6039058	0.5401167	0.1843733	0.1368815	0.1340097	0.2880171	0.3704625	0.4832066	1.0183178
1100	0.6892697	0.5209006	0.5342709	0.1081284	0.1630649	0.0982991	0.3764330	0.2927257	0.4885224	0.9457115
1200	0.6400802	0.5088404	0.5882636	0.1133678	0.1146283	0.1149675	0.3297475	0.3516242	0.5262884	1.1058293
1300	0.6481272	0.4273974	0.4460874	0.1051738	0.1098615	0.0981401	0.3657236	0.3034607	0.3842891	1.1585130
1400	0.6223432	0.5360553	0.4103810	0.1685270	0.0831325	0.0617356	0.2743381	0.3529222	0.4423741	1.0371577
