"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.6216848	0.5344529	0.4443249	0.1322723	0.1388033	0.1161199	0.3407510	0.3229683	0.3969844	0.9935085
100	0.5757298	0.2355843	0.2975842	0.2220858	0.0863339	0.0340999	0.8233103	0.2518493	0.2598863	0.9903252
200	0.3451361	0.2607474	0.1074336	0.4665067	0.0359061	0.1388334	0.8573505	0.1475188	0.1010515	0.9702221
300	0.3368273	0.2685790	0.1039824	0.3876885	0.0281879	0.1561353	0.9160673	0.1475410	0.0834844	1.0605522
400	0.2971747	0.2810851	0.1083827	0.4303169	0.0243307	0.1183681	0.9369641	0.1412629	0.1170470	0.9428327
500	0.3189929	0.2249567	0.1129535	0.3912685	0.0271413	0.1125896	0.8633246	0.1827414	0.1076469	0.9929714
600	0.3674392	0.2930377	0.1195034	0.3404333	0.0450271	0.0724484	0.9726370	0.1797936	0.1142227	0.9441791
700	0.3805520	0.2315534	0.1221000	0.4349569	0.0481698	0.1187330	0.9375220	0.1495548	0.1253758	1.0069941
800	0.4421978	0.6082111	0.2855789	0.2120390	0.0619629	0.1390147	0.3285159	0.2590698	0.2425229	0.9979517
900	0.6014709	0.5443337	0.4541231	0.1148058	0.1326446	0.1316288	0.2595961	0.3270178	0.4270328	0.9782731
1000	0.6724625	0.5137118	0.5577724	0.1470504	0.1310168	0.0927678	0.3567774	0.3293595	0.4482276	1.0305928
1100	0.6648662	0.4806546	0.5230100	0.1203312	0.1529625	0.1037148	0.3259047	0.3413696	0.4477742	0.9833201
1200	0.6157649	0.4904546	0.5450344	0.1311230	0.1489647	0.0924635	0.2800007	0.3662342	0.5061516	1.0448514
1300	0.6140201	0.4963789	0.5026737	0.1079057	0.1187826	0.1300512	0.3455919	0.3211575	0.4380287	1.0550204
1400	0.5983197	0.5404966	0.4785919	0.1455892	0.1062695	0.0860159	0.3012296	0.2547071	0.4004191	0.9399361
