"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.6478207	0.5075361	0.5017311	0.1358620	0.1237343	0.1149953	0.3735939	0.3312251	0.4121512	0.9953901
100	0.6345550	0.3744632	0.4390753	0.2069534	0.0988016	0.0454018	0.7027101	0.2599259	0.3708655	1.0040764
200	0.4590366	0.2414431	0.1560945	0.4050272	0.0753068	0.0909453	0.9368857	0.1513063	0.1656733	1.0055405
300	0.3859839	0.2899920	0.0936878	0.4721150	0.0341686	0.2094140	0.9310699	0.1479648	0.1198735	1.0423591
400	0.3012504	0.2917045	0.1004823	0.4969692	0.0408964	0.1293756	0.8401073	0.1353462	0.1252547	1.0136888
500	0.2699949	0.3004362	0.1264729	0.4146714	0.0266106	0.1550342	0.8236663	0.1840659	0.1183447	0.9271170
600	0.3208018	0.3214510	0.1440611	0.3431181	0.0507791	0.0563472	0.8883579	0.1709236	0.1115412	1.0399318
700	0.4390556	0.2532428	0.1243696	0.4057124	0.0689081	0.0918375	0.9541234	0.1589062	0.1610982	0.9947939
800	0.5238197	0.4879823	0.1741850	0.2751302	0.0549442	0.1463056	0.4254472	0.1859685	0.2063998	0.9968563
900	0.5647194	0.5638946	0.4210484	0.1376553	0.0995009	0.1417033	0.3256601	0.2777185	0.4088006	0.9941188
1000	0.6518839	0.5644932	0.5539398	0.0993161	0.1436065	0.0954207	0.3282748	0.2914333	0.4766998	0.9080018
1100	0.6270315	0.5533475	0.5590748	0.1258266	0.1582399	0.1102426	0.3247544	0.2860775	0.4536737	0.9495855
1200	0.6878478	0.5454657	0.5599068	0.1043993	0.1844051	0.1176962	0.3226039	0.3638522	0.4756187	1.0370433
1300	0.6093336	0.5475488	0.4770937	0.1142931	0.1614826	0.0943103	0.3268772	0.3167689	0.4643280	0.9469342
1400	0.6662851	0.5164818	0.4607061	0.1293095	0.1118650	0.0957265	0.2927875	0.2794491	0.4501005	0.9470145
