"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.6300658	0.5368399	0.4842037	0.1357975	0.1182885	0.1173336	0.3078275	0.3204097	0.4262716	0.9994678
100	0.4928072	0.2482035	0.2757831	0.2599372	0.0621565	0.0380038	0.8452972	0.2301110	0.2313552	0.9977656
200	0.3369855	0.2595280	0.1218211	0.4273442	0.0342313	0.1035083	0.8915378	0.1514041	0.1123064	0.9903667
300	0.3072402	0.2646308	0.0961956	0.4522723	0.0309172	0.1251458	0.8954732	0.1394607	0.0969597	0.9882060
400	0.3057841	0.2648029	0.0937878	0.4511325	0.0307479	0.1256907	0.8959380	0.1392389	0.0961526	0.9882499
500	0.3059584	0.2647401	0.0936467	0.4506669	0.0307551	0.1253816	0.8960006	0.1393573	0.0961889	0.9882951
600	0.3059760	0.2647334	0.0936313	0.4506514	0.0307557	0.1253500	0.8960070	0.1393656	0.0961921	0.9882982
700	0.3059732	0.2647338	0.0936276	0.4506571	0.0307554	0.1253521	0.8960075	0.1393642	0.0961909	0.9882978
800	0.5191118	0.5834537	0.3051340	0.2006691	0.0768764	0.1393713	0.3148817	0.2584410	0.2842642	0.9973460
900	0.6250829	0.5361516	0.4744376	0.1349278	0.1191666	0.1189930	0.3127810	0.3203311	0.4256199	0.9993503
1000	0.6301455	0.5362153	0.4842921	0.1355308	0.1187317	0.1174443	0.3087715	0.3207725	0.4272465	0.9994623
1100	0.6299489	0.5369007	0.4839545	0.1358574	0.1182343	0.1173558	0.3078263	0.3203433	0.4261087	0.9994667
1200	0.6300571	0.5368439	0.4841783	0.1357976	0.1182861	0.1173355	0.3078289	0.3204072	0.4262632	0.9994677
1300	0.6300667	0.5368386	0.4842043	0.1357967	0.1182894	0.1173336	0.3078289	0.3204107	0.4262741	0.9994678
1400	0.6300658	0.5368399	0.4842035	0.1357976	0.1182884	0.1173335	0.3078275	0.3204097	0.4262715	0.9994678
