"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.6300650	0.5368401	0.4842055	0.1357977	0.1182928	0.1173338	0.3078276	0.3204094	0.4262710	0.9994662
100	0.5673111	0.3268649	0.3834628	0.2068109	0.0909109	0.0438740	0.7109361	0.2710310	0.3157679	0.9988932
200	0.3985510	0.2649456	0.1844490	0.3909084	0.0478889	0.0844019	0.8670134	0.1742861	0.1467507	0.9934587
300	0.3227201	0.2638426	0.1112342	0.4481935	0.0339667	0.1207120	0.8920540	0.1433293	0.1025006	0.9891287
400	0.3078763	0.2646717	0.0962573	0.4513752	0.0312453	0.1255683	0.8954760	0.1394757	0.0966549	0.9883248
500	0.3061493	0.2647428	0.0939846	0.4507451	0.0308266	0.1254386	0.8959387	0.1393459	0.0962134	0.9882907
600	0.3059953	0.2647355	0.0936776	0.4506533	0.0307663	0.1253561	0.8959994	0.1393639	0.0961937	0.9882971
700	0.3059765	0.2647339	0.0936344	0.4506561	0.0307571	0.1253517	0.8960066	0.1393645	0.0961913	0.9882978
800	0.4156862	0.5219262	0.1890749	0.2743221	0.0492601	0.1538655	0.4377758	0.2075393	0.1934952	0.9935014
900	0.5828125	0.5426404	0.4097592	0.1456265	0.1016051	0.1231402	0.3248766	0.3042473	0.3889390	0.9983684
1000	0.6242962	0.5365894	0.4746640	0.1354563	0.1166660	0.1178379	0.3114138	0.3200378	0.4254792	0.9993208
1100	0.6292741	0.5367760	0.4828119	0.1358404	0.1180505	0.1173908	0.3083003	0.3203491	0.4261475	0.9994487
1200	0.6299418	0.5368487	0.4839637	0.1358074	0.1182388	0.1173409	0.3078709	0.3203910	0.4262236	0.9994653
1300	0.6300513	0.5368400	0.4841725	0.1357965	0.1182821	0.1173340	0.3078338	0.3204097	0.4262710	0.9994675
1400	0.6300642	0.5368397	0.4841998	0.1357975	0.1182876	0.1173336	0.3078284	0.3204098	0.4262718	0.9994678
