"Time"	ilvN	crp	mpl	azuC	glgA	cyaA	glpE	dksA	cpdB	hofC

0	0.6631476	0.4291620	0.4205487	0.1059421	0.1178056	0.1442169	0.3494827	0.3958891	0.3782812	0.9494312
100	0.5681575	0.3369452	0.5312441	0.2398139	0.1539257	0.0330559	0.6203562	0.2524396	0.3301060	0.9688827
200	0.4187092	0.1742235	0.1272548	0.4407416	0.0602076	0.0719273	0.8919218	0.1996437	0.1656768	1.0988561
300	0.3326436	0.2836035	0.0964519	0.4397391	0.0309260	0.1571028	0.9254450	0.1973892	0.0918324	1.2148198
400	0.3267342	0.3354815	0.0819109	0.4200793	0.0412224	0.1426734	0.7520833	0.1635038	0.1538757	1.1088709
500	0.2693694	0.2934932	0.1284567	0.4855945	0.0495839	0.1622709	0.7987771	0.1382792	0.1192190	0.9135757
600	0.2595951	0.3629885	0.1406616	0.3224417	0.0744305	0.0488486	0.8937929	0.1584400	0.0912753	0.8675180
700	0.4561279	0.2484598	0.1847737	0.3819979	0.0621045	0.1344820	0.8651247	0.1338204	0.1314305	0.9023643
800	0.7617210	0.4037311	0.1749198	0.2947860	0.0300371	0.1354188	0.4983418	0.1804208	0.2006073	0.8689865
900	0.5932930	0.5332786	0.3624005	0.1128352	0.1392490	0.1115097	0.3005358	0.2572316	0.4351481	0.9789120
1000	0.7222972	0.6425952	0.5436604	0.0761446	0.1798838	0.0612484	0.3866518	0.4653599	0.4876262	0.7741236
1100	0.6421461	0.5317009	0.5555053	0.1453089	0.1096612	0.1053908	0.2925540	0.3010554	0.4729317	0.9036109
1200	0.6566813	0.3818489	0.5558314	0.0885628	0.1830483	0.0997209	0.2595396	0.4015856	0.4054987	0.9727126
1300	0.6239015	0.6079153	0.5055461	0.1389692	0.1210357	0.0657364	0.2928818	0.2614719	0.4596781	0.8596219
1400	0.6039310	0.4632821	0.4449240	0.1002870	0.1182656	0.0590447	0.3516050	0.2334836	0.4391580	1.1047234
