,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
0,DDR1 /// MIR4640,2404.2,2865.7,2798.4,2080.5,2526.5
1,RFC2,2019.6,1133.4,1099.9,1696.7,1861.2
2,HSPA6,65.4,95.4,81.3,93.0,14.9
3,PAX8,577.2,526.9,575.8,499.1,360.8
4,GUCA1A,24.1,8.2,58.3,24.4,4.7
5,MIR5193 /// UBA7,111.1,73.7,118.9,95.1,63.2
6,THRA,92.2,117.2,182.4,51.1,90.4
7,PTPN21,18.9,13.1,17.5,14.4,57.6
8,CCL5,5.1,2.6,4.7,5.3,3.3
9,CYP2E1,155.1,117.0,130.7,175.4,133.1
10,EPHB3,83.9,125.4,100.5,145.3,164.5
11,ESRRA,1062.7,1491.9,1094.4,1135.1,856.5
12,CYP2A6,91.8,95.6,188.5,42.6,126.3
13,SCARB1,889.0,1437.2,1184.9,773.9,1156.7
14,TTLL12,3193.2,3277.6,3190.1,2264.2,3396.8
15,LINC00152 /// LOC101930489,83.8,11.7,52.2,52.0,14.1
16,WFDC2,66.2,23.5,70.2,67.1,76.4
17,MAPK1,260.9,179.9,117.9,201.4,230.9
18,MAPK1,797.0,580.1,558.8,914.9,913.7
19,ADAM32,30.3,38.8,8.4,42.7,4.7
20,SPATA17,81.9,137.2,135.4,85.3,38.9
21,PRR22,19.6,11.3,11.8,9.0,15.7
22,PRR22,50.5,76.2,85.7,59.4,55.2
23,PXK,436.9,387.8,267.4,422.2,309.8
24,PXK,398.3,427.5,457.2,482.0,326.2
25,VPS18,82.5,108.8,86.3,121.5,154.4
26,MSANTD3,663.0,653.8,577.3,613.4,822.3
27,SLC46A1,435.5,619.1,578.5,433.1,453.4
28,SLC46A1,324.9,392.5,539.7,366.3,381.1
29,TIMD4,83.5,50.5,39.7,14.2,4.3
30,SLC39A5,97.6,19.9,43.5,88.6,116.0
31,ZDHHC11 /// ZDHHC11B,271.5,240.5,300.4,213.1,266.2
32,ATP6V1E2,401.9,456.2,314.5,439.0,245.1
33,AFG3L1P,638.1,771.4,518.5,415.4,618.8
34,CILP2,6.5,8.9,4.0,8.6,4.3
35,CILP2,20.5,50.9,29.3,19.0,71.5
36,PIGX,1789.5,1588.7,1630.4,1184.9,1359.8
37,TMEM196,8.4,41.5,46.3,53.4,14.6
38,SLC39A13,236.9,184.7,213.7,191.1,185.5
39,BEST4,39.1,3.0,10.2,9.8,6.0
40,AK9,123.2,93.3,200.9,117.9,73.5
41,CORO6,194.6,142.0,143.6,101.5,52.4
42,TMEM106A,45.6,15.2,49.6,1.9,7.2
43,TMEM106A,3.9,21.8,46.8,41.0,9.1
44,ALG10,195.4,179.5,125.7,205.6,104.2
45,ALG10,642.6,585.6,444.9,608.8,755.4
46,TTC39C,371.2,370.5,374.7,481.9,397.3
47,NEXN,45.1,50.1,73.4,45.8,78.6
48,C15orf40,1200.5,960.9,1023.4,863.1,745.4
49,RAX2,306.5,321.2,146.6,213.1,120.2
50,MFAP3,412.9,454.9,421.5,486.4,371.3
51,EYA3,105.4,101.3,118.2,127.5,103.2
52,GIMAP1,36.5,77.8,15.3,64.3,4.1
53,GIMAP1,2.3,44.6,19.4,35.1,11.8
54,GIMAP1,54.4,6.4,67.6,17.1,42.4
55,KLK8,17.2,60.9,44.3,55.2,16.4
56,CCDC65,29.0,9.7,12.8,17.4,15.8
57,CCDC65,6.8,12.4,14.9,2.3,6.2
