,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
1,MIBNI,K-Means,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
2,MIBNI,Onestep,0.5416666666666667,0.7,0.7,1.0,0.8235294117647058
3,MIBNI,Elected,0.5416666666666667,0.7,0.7,1.0,0.8235294117647058
4,LogicGep,BASC A,0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
5,LogicGep,K-Means,0.41666666666666663,0.6,0.6666666666666666,0.8571428571428571,0.75
6,LogicGep,Onestep,0.7916666666666667,0.5,0.75,0.42857142857142855,0.5454545454545454
7,LogicGep,Elected,0.7916666666666667,0.5,0.75,0.42857142857142855,0.5454545454545454
8,Bestfit,BASC A,0.6666666666666667,0.4,0.6,0.42857142857142855,0.5
9,Bestfit,K-Means,0.5,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
10,Bestfit,Onestep,Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
11,Bestfit,Elected,Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
