,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
1,MIBNI,K-Means,0.75,0.7,0.7,1.0,0.8235294117647058
2,MIBNI,Onestep,0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
3,MIBNI,Elected,0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
4,LogicGep,BASC A,0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
5,LogicGep,K-Means,0.375,0.8,1.0,0.7142857142857143,0.8333333333333334
6,LogicGep,Onestep,0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
7,LogicGep,Elected,0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
8,Bestfit,BASC A,Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
9,Bestfit,K-Means,Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
10,Bestfit,Onestep,Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
11,Bestfit,Elected,Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
