,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.8194444444444444,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
1,MIBNI,K-Means,0.7951388888888888,0.2857142857142857,0.25,1.0,0.4
2,MIBNI,Onestep,0.78125,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
3,MIBNI,Elected,0.7847222222222222,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
4,LogicGep,BASC A,0.29861111111111105,0.7619047619047619,0.5,0.8,0.6153846153846154
5,LogicGep,K-Means,0.22916666666666663,0.6190476190476191,0.3333333333333333,0.6,0.42857142857142855
6,LogicGep,Onestep,0.2222222222222222,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333
7,LogicGep,Elected,0.29166666666666663,0.6666666666666666,0.3333333333333333,0.4,0.36363636363636365
8,Bestfit,BASC A,0.21527777777777768,0.6190476190476191,0.3333333333333333,0.6,0.42857142857142855
9,Bestfit,K-Means,0.22916666666666663,0.6666666666666666,0.375,0.6,0.46153846153846156
10,Bestfit,Onestep,0.19791666666666663,0.7142857142857143,0.42857142857142855,0.6,0.5
11,Bestfit,Elected,0.29166666666666663,0.7142857142857143,0.4,0.4,0.4
