,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.7881944444444444,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
1,MIBNI,K-Means,0.7881944444444444,0.2857142857142857,0.25,1.0,0.4
2,MIBNI,Onestep,0.71875,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
3,MIBNI,Elected,0.7361111111111112,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
4,LogicGep,BASC A,0.2881944444444443,0.7619047619047619,0.5,0.6,0.5454545454545454
5,LogicGep,K-Means,0.2152777777777778,0.5714285714285714,0.25,0.4,0.3076923076923077
6,LogicGep,Onestep,0.23611111111111105,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333
7,LogicGep,Elected,0.23611111111111105,0.6666666666666666,0.375,0.6,0.46153846153846156
8,Bestfit,BASC A,0.2881944444444443,0.7142857142857143,0.4,0.4,0.4
9,Bestfit,K-Means,0.23263888888888884,0.6666666666666666,0.375,0.6,0.46153846153846156
10,Bestfit,Onestep,0.21180555555555547,0.7142857142857143,0.42857142857142855,0.6,0.5
11,Bestfit,Elected,0.2256944444444443,0.7142857142857143,0.42857142857142855,0.6,0.5
