,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.6153846153846154,0.4666666666666667,0.4,0.6666666666666666,0.5
1,MIBNI,K-Means,0.717948717948718,0.4,0.4,1.0,0.5714285714285714
2,MIBNI,Onestep,0.6239316239316239,0.4666666666666667,0.42105263157894735,0.8888888888888888,0.5714285714285714
3,MIBNI,Elected,0.6068376068376068,0.4666666666666667,0.42105263157894735,0.8888888888888888,0.5714285714285714
4,LogicGep,BASC A,0.8376068376068376,0.37777777777777777,0.25,0.2777777777777778,0.2631578947368421
5,LogicGep,K-Means,0.7350427350427351,0.5111111111111111,0.3333333333333333,0.2222222222222222,0.26666666666666666
6,LogicGep,Onestep,0.8376068376068376,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,LogicGep,Elected,0.8205128205128205,0.4222222222222222,0.25,0.2222222222222222,0.23529411764705882
8,Bestfit,BASC A,Cannot be calculated,0.4888888888888889,0.2727272727272727,0.16666666666666666,0.20689655172413793
9,Bestfit,K-Means,0.46153846153846145,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
10,Bestfit,Onestep,Cannot be calculated,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.30303030303030304
11,Bestfit,Elected,Cannot be calculated,0.5333333333333333,0.4,0.3333333333333333,0.36363636363636365
