,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.5042735042735043,0.4444444444444444,0.41025641025641024,0.8888888888888888,0.5614035087719298
1,MIBNI,K-Means,0.7521367521367521,0.4222222222222222,0.4090909090909091,1.0,0.5806451612903226
2,MIBNI,Onestep,0.6239316239316239,0.4444444444444444,0.40540540540540543,0.8333333333333334,0.5454545454545454
3,MIBNI,Elected,0.6239316239316239,0.4444444444444444,0.40540540540540543,0.8333333333333334,0.5454545454545454
4,LogicGep,BASC A,0.7948717948717949,0.4888888888888889,0.35294117647058826,0.3333333333333333,0.34285714285714286
5,LogicGep,K-Means,Cannot be calculated,0.6444444444444445,0.5714285714285714,0.4444444444444444,0.5
6,LogicGep,Onestep,0.6153846153846154,0.5777777777777777,0.47058823529411764,0.4444444444444444,0.45714285714285713
7,LogicGep,Elected,0.6153846153846154,0.5777777777777777,0.47058823529411764,0.4444444444444444,0.45714285714285713
8,Bestfit,BASC A,Cannot be calculated,0.5333333333333333,0.36363636363636365,0.2222222222222222,0.27586206896551724
9,Bestfit,K-Means,Cannot be calculated,0.6222222222222222,0.5294117647058824,0.5,0.5142857142857142
10,Bestfit,Onestep,Cannot be calculated,0.6888888888888889,0.6428571428571429,0.5,0.5625
11,Bestfit,Elected,Cannot be calculated,0.6888888888888889,0.6428571428571429,0.5,0.5625
