,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.7916666666666666,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
1,MIBNI,K-Means,0.7847222222222222,0.3333333333333333,0.2631578947368421,1.0,0.4166666666666667
2,MIBNI,Onestep,0.7916666666666666,0.2857142857142857,0.2222222222222222,0.8,0.34782608695652173
3,MIBNI,Elected,0.78125,0.23809523809523808,0.23809523809523808,1.0,0.38461538461538464
4,LogicGep,BASC A,0.23263888888888884,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
5,LogicGep,BASC A,0.23263888888888884,0.38095238095238093,0.1,0.2,0.13333333333333333
6,LogicGep,BASC A,0.3055555555555557,0.5238095238095238,0.14285714285714285,0.2,0.16666666666666666
7,LogicGep,BASC A,0.3055555555555557,0.5714285714285714,0.16666666666666666,0.2,0.18181818181818182
8,LogicGep,BASC A,0.3055555555555557,0.5714285714285714,0.3,0.6,0.4
9,LogicGep,BASC A,0.3055555555555557,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
10,LogicGep,BASC A,0.3055555555555557,0.47619047619047616,0.125,0.2,0.15384615384615385
11,LogicGep,BASC A,0.23263888888888884,0.5714285714285714,0.3,0.6,0.4
12,LogicGep,BASC A,0.22916666666666663,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
13,LogicGep,BASC A,0.22916666666666663,0.6190476190476191,0.3333333333333333,0.6,0.42857142857142855
14,LogicGep,BASC A,0.3055555555555557,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333
15,LogicGep,BASC A,0.22916666666666663,0.38095238095238093,0.21428571428571427,0.6,0.3157894736842105
16,LogicGep,BASC A,0.23263888888888884,0.42857142857142855,0.18181818181818182,0.4,0.25
17,LogicGep,BASC A,0.23263888888888884,0.6190476190476191,0.36363636363636365,0.8,0.5
18,LogicGep,BASC A,0.23263888888888884,0.47619047619047616,0.2,0.4,0.26666666666666666
19,LogicGep,BASC A,Mean: 0.2611111111111111 STD: 0.03758533060543147 SE: 0.0097044906331024,Mean: 0.5206349206349206 STD: 0.07941041788883735 SE: 0.020503681733255907,Mean: 0.22533189033189033 STD: 0.07759490267716769 SE: 0.020034917721283716,Mean: 0.4266666666666667 STD: 0.18309508328682536 SE: 0.0472749472228223,Mean: 0.2924778730041888 STD: 0.107620064305628 SE: 0.027787381118231234
20,LogicGep,K-Means,0.2465277777777778,0.47619047619047616,0.125,0.2,0.15384615384615385
