,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.84,0.24,0.13,0.4,0.2
1,MIBNI,K-Means,0.823,0.24,0.24,1.0,0.38
2,MIBNI,Onestep,0.844,0.24,0.24,1.0,0.38
3,MIBNI,Elected,0.823,0.24,0.24,1.0,0.38
4,LogicGep,BASC A,0.84,0.33,0.0,0.0,0.0
5,LogicGep,K-Means,0.823,0.57,0.25,0.4,0.31
6,LogicGep,Onestep,0.844,0.48,0.25,0.6,0.35
7,LogicGep,Elected,0.823,0.43,0.23,0.6,0.33
8,Bestfit,BASC A,0.84,0.67,0.0,0.0,0.0
9,Bestfit,K-Means,0.823,0.48,0.25,0.6,0.35
10,Bestfit,Onestep,0.844,0.52,0.22,0.4,0.29
11,Bestfit,Elected,0.823,0.48,0.25,0.6,0.35
