,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.583,0.6,0.67,0.86,0.75
1,MIBNI,K-Means,0.625,0.8,0.78,1,0.88
2,MIBNI,Onestep,0.583,0.6,0.71,0.71,0.71
3,MIBNI,Elected,0.583,0.6,0.71,0.71,0.71
4,LogicGep,BASC A,0.833,0.7,0.75,0.86,0.8
5,LogicGep,BASC A,0.833,0.4,0.57,0.57,0.57
6,LogicGep,BASC A,0.833,0.3,0.5,0.29,0.36
7,LogicGep,BASC A,Cannot be calculated,0.3,0.5,0.14,0.22
8,LogicGep,BASC A,0.833,0.7,0.75,0.86,0.8
9,LogicGep,BASC A,0.833,0.4,0.57,0.57,0.57
10,LogicGep,BASC A,0.833,0.3,0.5,0.43,0.46
11,LogicGep,BASC A,0.833,0.5,0.62,0.71,0.67
12,LogicGep,BASC A,0.833,0.6,0.8,0.57,0.67
13,LogicGep,BASC A,0.833,0.6,0.71,0.71,0.71
14,LogicGep,BASC A,0.833,0.5,0.67,0.57,0.62
15,LogicGep,BASC A,Cannot be calculated,0.4,0.6,0.43,0.5
16,LogicGep,BASC A,0.833,0.6,0.71,0.71,0.71
17,LogicGep,BASC A,0.833,0.7,0.75,0.86,0.8
18,LogicGep,BASC A,0.833,0.8,0.86,0.86,0.86
19,LogicGep,BASC A,Mean: 0.83 STD: 0.0 SE: 0.0,Mean: 0.52 STD: 0.166 SE: 0.043,Mean: 0.66 STD: 0.116 SE: 0.03,Mean: 0.61 STD: 0.219 SE: 0.057,Mean: 0.62 STD: 0.179 SE: 0.046
20,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
21,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
22,LogicGep,K-Means,0.583,0.6,0.8,0.57,0.67
23,LogicGep,K-Means,0.583,0.6,0.8,0.57,0.67
24,LogicGep,K-Means,0.583,0.7,0.75,0.86,0.8
25,LogicGep,K-Means,0.583,0.6,0.8,0.57,0.67
26,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
27,LogicGep,K-Means,0.583,0.9,0.88,1,0.93
28,LogicGep,K-Means,0.583,0.6,0.8,0.57,0.67
29,LogicGep,K-Means,0.583,0.8,0.86,0.86,0.86
30,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
31,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
32,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
33,LogicGep,K-Means,0.583,0.7,0.83,0.71,0.77
34,LogicGep,K-Means,0.625,0.8,0.78,1,0.88
35,LogicGep,K-Means,Mean: 0.59 STD: 0.011 SE: 0.003,Mean: 0.7 STD: 0.085 SE: 0.022,Mean: 0.82 STD: 0.032 SE: 0.008,Mean: 0.73 STD: 0.143 SE: 0.037,Mean: 0.77 STD: 0.079 SE: 0.02
36,LogicGep,Onestep,0.583,0.7,0.75,0.86,0.8
37,LogicGep,Onestep,0.583,0.8,0.78,1,0.88
38,LogicGep,Onestep,0.583,0.5,0.67,0.57,0.62
39,LogicGep,Onestep,0.708,0.9,0.88,1,0.93
40,LogicGep,Onestep,0.583,0.6,0.67,0.86,0.75
41,LogicGep,Onestep,0.583,0.8,0.78,1,0.88
42,LogicGep,Onestep,Cannot be calculated,0.7,0.83,0.71,0.77
43,LogicGep,Onestep,0.708,0.8,0.86,0.86,0.86
44,LogicGep,Onestep,Cannot be calculated,0.6,0.8,0.57,0.67
45,LogicGep,Onestep,Cannot be calculated,0.5,0.75,0.43,0.55
46,LogicGep,Onestep,0.708,0.7,0.83,0.71,0.77
47,LogicGep,Onestep,Cannot be calculated,0.6,0.8,0.57,0.67
48,LogicGep,Onestep,0.583,0.6,0.71,0.71,0.71
49,LogicGep,Onestep,Cannot be calculated,0.7,0.83,0.71,0.77
50,LogicGep,Onestep,0.708,0.5,0.62,0.71,0.67
51,LogicGep,Onestep,Mean: 0.63 STD: 0.065 SE: 0.02,Mean: 0.67 STD: 0.123 SE: 0.032,Mean: 0.77 STD: 0.076 SE: 0.02,Mean: 0.75 STD: 0.176 SE: 0.045,Mean: 0.75 STD: 0.107 SE: 0.028
52,LogicGep,Elected,0.708,0.6,0.71,0.71,0.71
53,LogicGep,Elected,0.708,0.9,0.88,1,0.93
54,LogicGep,Elected,Cannot be calculated,0.6,0.8,0.57,0.67
55,LogicGep,Elected,0.708,0.9,0.88,1,0.93
56,LogicGep,Elected,0.708,0.8,0.86,0.86,0.86
57,LogicGep,Elected,0.708,0.7,0.75,0.86,0.8
58,LogicGep,Elected,0.583,0.6,0.71,0.71,0.71
59,LogicGep,Elected,0.583,0.7,0.75,0.86,0.8
60,LogicGep,Elected,0.708,0.9,0.88,1,0.93
61,LogicGep,Elected,0.583,0.7,0.75,0.86,0.8
62,LogicGep,Elected,Cannot be calculated,0.6,0.8,0.57,0.67
63,LogicGep,Elected,0.708,0.7,0.75,0.86,0.8
64,LogicGep,Elected,Cannot be calculated,0.6,0.8,0.57,0.67
65,LogicGep,Elected,0.708,0.8,0.86,0.86,0.86
66,LogicGep,Elected,0.583,0.6,0.71,0.71,0.71
67,LogicGep,Elected,Mean: 0.67 STD: 0.062 SE: 0.018,Mean: 0.71 STD: 0.119 SE: 0.031,Mean: 0.79 STD: 0.065 SE: 0.017,Mean: 0.8 STD: 0.152 SE: 0.039,Mean: 0.79 STD: 0.097 SE: 0.025
68,Bestfit,BASC A,Cannot be calculated,0.4,0.6,0.43,0.5
69,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
70,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
71,Bestfit,BASC A,Cannot be calculated,0.3,0.5,0.29,0.36
72,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
73,Bestfit,BASC A,0.833,0.5,0.75,0.43,0.55
74,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
75,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
76,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
77,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
78,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
79,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
80,Bestfit,BASC A,Cannot be calculated,0.5,0.75,0.43,0.55
81,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
82,Bestfit,BASC A,Cannot be calculated,0.4,0.67,0.29,0.4
83,Bestfit,BASC A,Mean: 0.83 STD: nan SE: nan,Mean: 0.41 STD: 0.046 SE: 0.012,Mean: 0.66 STD: 0.057 SE: 0.015,Mean: 0.32 STD: 0.058 SE: 0.015,Mean: 0.42 STD: 0.059 SE: 0.015
84,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
85,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
86,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
87,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
88,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
89,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
90,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
91,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
92,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
93,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
94,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
95,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
96,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
97,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
98,Bestfit,K-Means,0.583,0.7,0.83,0.71,0.77
99,Bestfit,K-Means,Mean: 0.58 STD: 0.0 SE: 0.0,Mean: 0.7 STD: 0.0 SE: 0.0,Mean: 0.83 STD: 0.0 SE: 0.0,Mean: 0.71 STD: 0.0 SE: 0.0,Mean: 0.77 STD: 0.0 SE: 0.0
100,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
101,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
102,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
103,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
104,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
105,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
106,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
107,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
108,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
109,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
110,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
111,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
112,Bestfit,Onestep,0.583,0.6,0.71,0.71,0.71
