,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.5833333333333334,0.7,0.7,1.0,0.8235294117647058
1,MIBNI,K-Means,0.625,0.8,0.7777777777777778,1.0,0.875
2,MIBNI,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
3,MIBNI,Elected,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
4,LogicGep,BASC A,0.8333333333333334,0.6,0.8,0.5714285714285714,0.6666666666666666
5,LogicGep,BASC A,0.75,0.7,0.75,0.8571428571428571,0.8
6,LogicGep,BASC A,0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
7,LogicGep,BASC A,Cannot be calculated,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
8,LogicGep,BASC A,0.75,0.6,0.6666666666666666,0.8571428571428571,0.75
9,LogicGep,BASC A,Cannot be calculated,0.9,1.0,0.8571428571428571,0.9230769230769231
10,LogicGep,BASC A,0.75,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
11,LogicGep,BASC A,Cannot be calculated,0.9,0.875,1.0,0.9333333333333333
12,LogicGep,BASC A,0.8333333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
13,LogicGep,BASC A,0.7916666666666667,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
14,LogicGep,BASC A,0.8333333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
15,LogicGep,BASC A,0.7916666666666667,0.8,1.0,0.7142857142857143,0.8333333333333334
16,LogicGep,BASC A,Cannot be calculated,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
17,LogicGep,BASC A,Cannot be calculated,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
18,LogicGep,BASC A,0.8333333333333334,0.6,0.6666666666666666,0.8571428571428571,0.75
19,LogicGep,BASC A,Mean: 0.8 STD: 0.03828902431136174 SE: 0.012108052620946318,Mean: 0.6933333333333334 STD: 0.1437590576856522 SE: 0.037118429085533484,Mean: 0.7934126984126983 STD: 0.11855413592266134 SE: 0.030610546270165188,Mean: 0.7714285714285715 STD: 0.1408015372298803 SE: 0.036354800587448666,Mean: 0.7763614163614163 STD: 0.1105471909863256 SE: 0.028543161977336647
20,LogicGep,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
21,LogicGep,K-Means,0.5833333333333334,0.9,0.875,1.0,0.9333333333333333
22,LogicGep,K-Means,0.5833333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
23,LogicGep,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
24,LogicGep,K-Means,0.5833333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
25,LogicGep,K-Means,0.5833333333333334,0.6,0.8,0.5714285714285714,0.6666666666666666
26,LogicGep,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
27,LogicGep,K-Means,0.5833333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
28,LogicGep,K-Means,0.5833333333333334,0.9,0.875,1.0,0.9333333333333333
29,LogicGep,K-Means,0.5833333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
30,LogicGep,K-Means,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
31,LogicGep,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
32,LogicGep,K-Means,0.5833333333333334,0.8,0.7777777777777778,1.0,0.875
33,LogicGep,K-Means,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
34,LogicGep,K-Means,0.5833333333333334,0.6,0.8,0.5714285714285714,0.6666666666666666
35,LogicGep,K-Means,Mean: 0.5833333333333334 STD: 0.0 SE: 0.0,Mean: 0.7333333333333333 STD: 0.10465362369445676 SE: 0.027021449445925928,Mean: 0.8212169312169312 STD: 0.051541246375939896 SE: 0.013307892590452572,Mean: 0.7904761904761902 STD: 0.14149005741028928 SE: 0.03653257573359878,Mean: 0.8006043956043956 STD: 0.08794182979583272 SE: 0.02270648281561782
36,LogicGep,Onestep,Cannot be calculated,0.5,0.75,0.42857142857142855,0.5454545454545454
37,LogicGep,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
38,LogicGep,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
39,LogicGep,Onestep,0.7083333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
40,LogicGep,Onestep,0.6666666666666667,0.8,0.7777777777777778,1.0,0.875
41,LogicGep,Onestep,Cannot be calculated,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
42,LogicGep,Onestep,0.7083333333333334,0.8,0.7777777777777778,1.0,0.875
43,LogicGep,Onestep,0.7083333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
44,LogicGep,Onestep,0.5833333333333334,0.6,0.6666666666666666,0.8571428571428571,0.75
45,LogicGep,Onestep,0.5833333333333334,0.5,0.625,0.7142857142857143,0.6666666666666666
46,LogicGep,Onestep,0.5833333333333334,0.7,0.75,0.8571428571428571,0.8
47,LogicGep,Onestep,0.5833333333333334,0.7,0.75,0.8571428571428571,0.8
48,LogicGep,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
49,LogicGep,Onestep,0.7083333333333334,0.7,0.75,0.8571428571428571,0.8
50,LogicGep,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
51,LogicGep,Onestep,Mean: 0.6282051282051282 STD: 0.06004805767690768 SE: 0.016654334688162284,Mean: 0.6466666666666666 STD: 0.10600988273786197 SE: 0.0273716340251427,Mean: 0.7374338624338623 STD: 0.06107054390677541 SE: 0.015768346632984667,Mean: 0.7714285714285715 STD: 0.150799617974785 SE: 0.03893629393538553,Mean: 0.7474014874014875 STD: 0.09354325214924372 SE: 0.024152763848273473
52,LogicGep,Elected,0.7083333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
53,LogicGep,Elected,0.7083333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
54,LogicGep,Elected,Cannot be calculated,0.6,0.8,0.5714285714285714,0.6666666666666666
55,LogicGep,Elected,0.7083333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
56,LogicGep,Elected,0.5833333333333334,0.7,0.75,0.8571428571428571,0.8
57,LogicGep,Elected,0.5833333333333334,0.7,0.75,0.8571428571428571,0.8
58,LogicGep,Elected,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
59,LogicGep,Elected,0.5833333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
60,LogicGep,Elected,0.7083333333333334,0.9,0.875,1.0,0.9333333333333333
61,LogicGep,Elected,0.7083333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
62,LogicGep,Elected,0.5833333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
63,LogicGep,Elected,0.9583333333333334,0.7,0.75,0.8571428571428571,0.8
64,LogicGep,Elected,0.5833333333333334,0.7,0.75,0.8571428571428571,0.8
65,LogicGep,Elected,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
66,LogicGep,Elected,0.7083333333333334,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
67,LogicGep,Elected,Mean: 0.6636904761904762 STD: 0.10523717326763696 SE: 0.02812581762286164,Mean: 0.6666666666666666 STD: 0.11126972805283737 SE: 0.028729720245711157,Mean: 0.7608730158730158 STD: 0.06826744712133848 SE: 0.017626579052602624,Mean: 0.761904761904762 STD: 0.12853363012034819 SE: 0.03318724059224617,Mean: 0.7580952380952383 STD: 0.09033517464087978 SE: 0.023324441797391064
68,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
69,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
70,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
71,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
72,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
73,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
74,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
75,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
76,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
77,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
78,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
79,Bestfit,BASC A,Cannot be calculated,0.5,1.0,0.2857142857142857,0.4444444444444444
