,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.504,0.44,0.39,0.72,0.51
1,MIBNI,K-Means,0.581,0.4,0.4,1,0.57
2,MIBNI,Onestep,0.624,0.4,0.4,1,0.57
3,MIBNI,Elected,0.556,0.4,0.4,1,0.57
4,LogicGep,BASC A,Cannot be calculated,0.44,0.29,0.28,0.29
5,LogicGep,BASC A,0.838,0.51,0.39,0.39,0.39
6,LogicGep,BASC A,Cannot be calculated,0.51,0.38,0.33,0.35
7,LogicGep,BASC A,0.761,0.51,0.38,0.33,0.35
8,LogicGep,BASC A,Cannot be calculated,0.58,0.47,0.44,0.46
9,LogicGep,BASC A,0.863,0.47,0.35,0.39,0.37
10,LogicGep,BASC A,0.752,0.47,0.33,0.33,0.33
11,LogicGep,BASC A,0.701,0.49,0.37,0.39,0.38
12,LogicGep,BASC A,0.701,0.53,0.41,0.39,0.4
13,LogicGep,BASC A,Cannot be calculated,0.51,0.36,0.28,0.31
14,LogicGep,BASC A,0.897,0.42,0.3,0.33,0.32
15,LogicGep,BASC A,0.803,0.49,0.33,0.28,0.3
16,LogicGep,BASC A,0.872,0.51,0.39,0.39,0.39
17,LogicGep,BASC A,Cannot be calculated,0.49,0.33,0.28,0.3
18,LogicGep,BASC A,0.761,0.49,0.39,0.5,0.44
19,LogicGep,BASC A,Mean: 0.79 STD: 0.07 SE: 0.022,Mean: 0.49 STD: 0.037 SE: 0.01,Mean: 0.36 STD: 0.046 SE: 0.012,Mean: 0.36 STD: 0.065 SE: 0.017,Mean: 0.36 STD: 0.052 SE: 0.013
20,LogicGep,K-Means,0.487,0.58,0.46,0.33,0.39
21,LogicGep,K-Means,Cannot be calculated,0.62,0.55,0.33,0.41
22,LogicGep,K-Means,Cannot be calculated,0.56,0.45,0.5,0.47
23,LogicGep,K-Means,0.538,0.6,0.5,0.39,0.44
24,LogicGep,K-Means,Cannot be calculated,0.58,0.47,0.44,0.46
