,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
0,MIBNI,BASC A,0.53,0.42,0.39,0.94,0.55
1,MIBNI,K-Means,0.581,0.38,0.38,1.0,0.55
2,MIBNI,Onestep,0.615,0.38,0.38,1.0,0.55
3,MIBNI,Elected,0.556,0.38,0.38,1.0,0.55
4,LogicGep,BASC A,0.675,0.62,0.5,0.53,0.51
5,LogicGep,K-Means,0.487,0.51,0.37,0.41,0.39
6,LogicGep,Onestep,0.65,0.62,0.5,0.35,0.41
7,LogicGep,Elected,0.624,0.6,0.47,0.47,0.47
8,Bestfit,BASC A,0.855,0.69,0.58,0.65,0.61
9,Bestfit,K-Means,0.641,0.6,0.47,0.47,0.47
10,Bestfit,Onestep,0.547,0.64,0.52,0.76,0.62
11,Bestfit,Elected,0.624,0.69,0.57,0.71,0.63
