Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
MIBNI,{BASC A},0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
MIBNI,{K-Means},0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
MIBNI,{Onestep},0.5416666666666667,0.7,0.7,1.0,0.8235294117647058
MIBNI,"{BASC A, K-Means}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
MIBNI,"{BASC A, Onestep}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
MIBNI,"{K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058
MIBNI,"{BASC A, K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058
LogicGep,{BASC A},0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
LogicGep,{K-Means},0.5416666666666666,0.6,0.6666666666666666,0.8571428571428571,0.75
LogicGep,{Onestep},0.7916666666666667,0.5,0.75,0.42857142857142855,0.5454545454545454
LogicGep,"{BASC A, K-Means}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
LogicGep,"{BASC A, Onestep}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154
LogicGep,"{K-Means, Onestep}",0.7916666666666667,0.5,0.75,0.42857142857142855,0.5454545454545454
LogicGep,"{BASC A, K-Means, Onestep}",0.7916666666666667,0.5,0.75,0.42857142857142855,0.5454545454545454
Bestfit,{BASC A},0.625,0.6,0.8,0.5714285714285714,0.6666666666666666
Bestfit,{K-Means},0.5,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
Bestfit,{Onestep},Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
Bestfit,"{BASC A, K-Means}",0.625,0.6,0.8,0.5714285714285714,0.6666666666666666
Bestfit,"{BASC A, Onestep}",0.625,0.6,0.8,0.5714285714285714,0.6666666666666666
Bestfit,"{K-Means, Onestep}",Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
Bestfit,"{BASC A, K-Means, Onestep}",Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
