Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
MIBNI,{BASC A},0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
MIBNI,{K-Means},0.75,0.7,0.7,1.0,0.8235294117647058
MIBNI,{Onestep},0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
MIBNI,"{BASC A, K-Means}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
MIBNI,"{BASC A, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
MIBNI,"{K-Means, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
MIBNI,"{BASC A, K-Means, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75
LogicGep,{BASC A},0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
LogicGep,{K-Means},0.375,0.8,1.0,0.7142857142857143,0.8333333333333334
LogicGep,{Onestep},0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
LogicGep,"{BASC A, K-Means}",0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
LogicGep,"{BASC A, Onestep}",0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
LogicGep,"{K-Means, Onestep}",0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
LogicGep,"{BASC A, K-Means, Onestep}",0.7916666666666667,0.4,0.6,0.42857142857142855,0.5
Bestfit,{BASC A},Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
Bestfit,{K-Means},Cannot be calculated,0.4,0.6666666666666666,0.2857142857142857,0.4
Bestfit,{Onestep},Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
Bestfit,"{BASC A, K-Means}",Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
Bestfit,"{BASC A, Onestep}",Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
Bestfit,"{K-Means, Onestep}",Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
Bestfit,"{BASC A, K-Means, Onestep}",Cannot be calculated,0.3,0.5,0.14285714285714285,0.2222222222222222
