,dataset,binarization,impu,binary,freq
0,P53-MDM2,{BASC A},og_bin,?,16
1,P53-MDM2,{BASC A},og_bin,0,6
2,P53-MDM2,{BASC A},og_bin,1,6
3,P53-MDM2,{BASC A},bin_onlyMissForest,0,19
4,P53-MDM2,{BASC A},bin_onlyMissForest,1,9
5,P53-MDM2,{BASC A},bin_Prob_and_MissForest,0,6
6,P53-MDM2,{BASC A},bin_Prob_and_MissForest,1,22
7,P53-MDM2,{K-Means},og_bin,?,3
8,P53-MDM2,{K-Means},og_bin,0,11
9,P53-MDM2,{K-Means},og_bin,1,14
10,P53-MDM2,{K-Means},bin_onlyMissForest,0,12
11,P53-MDM2,{K-Means},bin_onlyMissForest,1,16
12,P53-MDM2,{K-Means},bin_Prob_and_MissForest,0,11
13,P53-MDM2,{K-Means},bin_Prob_and_MissForest,1,17
14,P53-MDM2,{Onestep},og_bin,?,12
15,P53-MDM2,{Onestep},og_bin,0,6
16,P53-MDM2,{Onestep},og_bin,1,10
17,P53-MDM2,{Onestep},bin_onlyMissForest,0,12
18,P53-MDM2,{Onestep},bin_onlyMissForest,1,16
19,P53-MDM2,{Onestep},bin_Prob_and_MissForest,0,6
20,P53-MDM2,{Onestep},bin_Prob_and_MissForest,1,22
21,P53-MDM2,"{BASC A, K-Means}",og_bin,?,16
22,P53-MDM2,"{BASC A, K-Means}",og_bin,0,6
23,P53-MDM2,"{BASC A, K-Means}",og_bin,1,6
24,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest,0,19
25,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest,1,9
26,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest,0,6
27,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest,1,22
28,P53-MDM2,"{BASC A, Onestep}",og_bin,?,16
29,P53-MDM2,"{BASC A, Onestep}",og_bin,0,6
30,P53-MDM2,"{BASC A, Onestep}",og_bin,1,6
31,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest,0,19
32,P53-MDM2,"{BASC A, Onestep}",bin_onlyMissForest,1,9
33,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest,0,6
34,P53-MDM2,"{BASC A, Onestep}",bin_Prob_and_MissForest,1,22
