,gene,binary,count,dataset,binarization,impu
0,ATM,?,3,P53-MDM2,{BASC A},og_bin
1,ATM,0,1,P53-MDM2,{BASC A},og_bin
2,ATM,1,3,P53-MDM2,{BASC A},og_bin
3,MDM2,?,5,P53-MDM2,{BASC A},og_bin
4,MDM2,0,1,P53-MDM2,{BASC A},og_bin
5,MDM2,1,1,P53-MDM2,{BASC A},og_bin
6,WIP1,?,6,P53-MDM2,{BASC A},og_bin
7,WIP1,0,1,P53-MDM2,{BASC A},og_bin
8,p53,?,2,P53-MDM2,{BASC A},og_bin
9,p53,0,3,P53-MDM2,{BASC A},og_bin
10,p53,1,2,P53-MDM2,{BASC A},og_bin
11,ATM,0,1,P53-MDM2,{BASC A},bin_onlyMissForest
12,ATM,1,6,P53-MDM2,{BASC A},bin_onlyMissForest
13,MDM2,0,6,P53-MDM2,{BASC A},bin_onlyMissForest
14,MDM2,1,1,P53-MDM2,{BASC A},bin_onlyMissForest
15,WIP1,0,7,P53-MDM2,{BASC A},bin_onlyMissForest
16,p53,0,5,P53-MDM2,{BASC A},bin_onlyMissForest
17,p53,1,2,P53-MDM2,{BASC A},bin_onlyMissForest
18,ATM,0,1,P53-MDM2,{BASC A},bin_Prob_and_MissForest
19,ATM,1,6,P53-MDM2,{BASC A},bin_Prob_and_MissForest
20,MDM2,0,1,P53-MDM2,{BASC A},bin_Prob_and_MissForest
21,MDM2,1,6,P53-MDM2,{BASC A},bin_Prob_and_MissForest
22,WIP1,0,1,P53-MDM2,{BASC A},bin_Prob_and_MissForest
23,WIP1,1,6,P53-MDM2,{BASC A},bin_Prob_and_MissForest
24,p53,0,3,P53-MDM2,{BASC A},bin_Prob_and_MissForest
25,p53,1,4,P53-MDM2,{BASC A},bin_Prob_and_MissForest
26,ATM,?,1,P53-MDM2,{K-Means},og_bin
27,ATM,0,1,P53-MDM2,{K-Means},og_bin
28,ATM,1,5,P53-MDM2,{K-Means},og_bin
29,MDM2,0,5,P53-MDM2,{K-Means},og_bin
30,MDM2,1,2,P53-MDM2,{K-Means},og_bin
31,WIP1,?,1,P53-MDM2,{K-Means},og_bin
32,WIP1,0,2,P53-MDM2,{K-Means},og_bin
33,WIP1,1,4,P53-MDM2,{K-Means},og_bin
34,p53,?,1,P53-MDM2,{K-Means},og_bin
35,p53,0,3,P53-MDM2,{K-Means},og_bin
36,p53,1,3,P53-MDM2,{K-Means},og_bin
37,ATM,0,1,P53-MDM2,{K-Means},bin_onlyMissForest
38,ATM,1,6,P53-MDM2,{K-Means},bin_onlyMissForest
39,MDM2,0,5,P53-MDM2,{K-Means},bin_onlyMissForest
40,MDM2,1,2,P53-MDM2,{K-Means},bin_onlyMissForest
41,WIP1,0,2,P53-MDM2,{K-Means},bin_onlyMissForest
42,WIP1,1,5,P53-MDM2,{K-Means},bin_onlyMissForest
43,p53,0,4,P53-MDM2,{K-Means},bin_onlyMissForest
44,p53,1,3,P53-MDM2,{K-Means},bin_onlyMissForest
45,ATM,0,1,P53-MDM2,{K-Means},bin_Prob_and_MissForest
46,ATM,1,6,P53-MDM2,{K-Means},bin_Prob_and_MissForest
47,MDM2,0,5,P53-MDM2,{K-Means},bin_Prob_and_MissForest
48,MDM2,1,2,P53-MDM2,{K-Means},bin_Prob_and_MissForest
49,WIP1,0,2,P53-MDM2,{K-Means},bin_Prob_and_MissForest
50,WIP1,1,5,P53-MDM2,{K-Means},bin_Prob_and_MissForest
51,p53,0,3,P53-MDM2,{K-Means},bin_Prob_and_MissForest
52,p53,1,4,P53-MDM2,{K-Means},bin_Prob_and_MissForest
53,ATM,?,3,P53-MDM2,{Onestep},og_bin
54,ATM,0,1,P53-MDM2,{Onestep},og_bin
55,ATM,1,3,P53-MDM2,{Onestep},og_bin
56,MDM2,?,5,P53-MDM2,{Onestep},og_bin
57,MDM2,0,1,P53-MDM2,{Onestep},og_bin
58,MDM2,1,1,P53-MDM2,{Onestep},og_bin
59,WIP1,?,3,P53-MDM2,{Onestep},og_bin
60,WIP1,0,1,P53-MDM2,{Onestep},og_bin
61,WIP1,1,3,P53-MDM2,{Onestep},og_bin
62,p53,?,1,P53-MDM2,{Onestep},og_bin
63,p53,0,3,P53-MDM2,{Onestep},og_bin
64,p53,1,3,P53-MDM2,{Onestep},og_bin
65,ATM,0,1,P53-MDM2,{Onestep},bin_onlyMissForest
66,ATM,1,6,P53-MDM2,{Onestep},bin_onlyMissForest
67,MDM2,0,6,P53-MDM2,{Onestep},bin_onlyMissForest
68,MDM2,1,1,P53-MDM2,{Onestep},bin_onlyMissForest
69,WIP1,0,1,P53-MDM2,{Onestep},bin_onlyMissForest
70,WIP1,1,6,P53-MDM2,{Onestep},bin_onlyMissForest
71,p53,0,4,P53-MDM2,{Onestep},bin_onlyMissForest
72,p53,1,3,P53-MDM2,{Onestep},bin_onlyMissForest
73,ATM,0,1,P53-MDM2,{Onestep},bin_Prob_and_MissForest
74,ATM,1,6,P53-MDM2,{Onestep},bin_Prob_and_MissForest
75,MDM2,0,1,P53-MDM2,{Onestep},bin_Prob_and_MissForest
76,MDM2,1,6,P53-MDM2,{Onestep},bin_Prob_and_MissForest
77,WIP1,0,1,P53-MDM2,{Onestep},bin_Prob_and_MissForest
78,WIP1,1,6,P53-MDM2,{Onestep},bin_Prob_and_MissForest
79,p53,0,3,P53-MDM2,{Onestep},bin_Prob_and_MissForest
80,p53,1,4,P53-MDM2,{Onestep},bin_Prob_and_MissForest
81,ATM,?,3,P53-MDM2,"{BASC A, K-Means}",og_bin
82,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
83,ATM,1,3,P53-MDM2,"{BASC A, K-Means}",og_bin
84,MDM2,?,5,P53-MDM2,"{BASC A, K-Means}",og_bin
85,MDM2,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
86,MDM2,1,1,P53-MDM2,"{BASC A, K-Means}",og_bin
87,WIP1,?,6,P53-MDM2,"{BASC A, K-Means}",og_bin
88,WIP1,0,1,P53-MDM2,"{BASC A, K-Means}",og_bin
89,p53,?,2,P53-MDM2,"{BASC A, K-Means}",og_bin
90,p53,0,3,P53-MDM2,"{BASC A, K-Means}",og_bin
91,p53,1,2,P53-MDM2,"{BASC A, K-Means}",og_bin
92,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
93,ATM,1,6,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
94,MDM2,0,6,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
95,MDM2,1,1,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
96,WIP1,0,7,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
97,p53,0,5,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
98,p53,1,2,P53-MDM2,"{BASC A, K-Means}",bin_onlyMissForest
99,ATM,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
100,ATM,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
101,MDM2,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
102,MDM2,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
103,WIP1,0,1,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
104,WIP1,1,6,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
105,p53,0,3,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
106,p53,1,4,P53-MDM2,"{BASC A, K-Means}",bin_Prob_and_MissForest
107,ATM,?,3,P53-MDM2,"{BASC A, Onestep}",og_bin
108,ATM,0,1,P53-MDM2,"{BASC A, Onestep}",og_bin
