,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score,impuType,dataset
0,MIBNI,{BASC A},0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
1,MIBNI,{K-Means},0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
2,MIBNI,{Onestep},0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
3,MIBNI,"{BASC A, K-Means}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
4,MIBNI,"{BASC A, Onestep}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
5,MIBNI,"{K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
6,MIBNI,"{BASC A, K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
7,LogicGep,{BASC A},0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
8,LogicGep,{K-Means},0.5416666666666666,0.6,0.6666666666666666,0.8571428571428571,0.75,missforestMetrics,P53-MDM2
9,LogicGep,{Onestep},0.7916666666666667,0.5,0.75,0.4285714285714285,0.5454545454545454,missforestMetrics,P53-MDM2
10,LogicGep,"{BASC A, K-Means}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
11,LogicGep,"{BASC A, Onestep}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
12,LogicGep,"{K-Means, Onestep}",0.7916666666666667,0.5,0.75,0.4285714285714285,0.5454545454545454,missforestMetrics,P53-MDM2
