Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
MIBNI,{BASC A},0.6153846153846154,0.4666666666666667,0.4,0.6666666666666666,0.5
MIBNI,{K-Means},0.717948717948718,0.4,0.4,1.0,0.5714285714285714
MIBNI,{Onestep},0.6239316239316239,0.4666666666666667,0.42105263157894735,0.8888888888888888,0.5714285714285714
MIBNI,"{BASC A, K-Means}",0.6153846153846154,0.4666666666666667,0.4,0.6666666666666666,0.5
MIBNI,"{BASC A, Onestep}",0.7264957264957266,0.4666666666666667,0.4,0.6666666666666666,0.5
MIBNI,"{K-Means, Onestep}",0.6239316239316239,0.4666666666666667,0.42105263157894735,0.8888888888888888,0.5714285714285714
MIBNI,"{BASC A, K-Means, Onestep}",0.6068376068376068,0.4666666666666667,0.42105263157894735,0.8888888888888888,0.5714285714285714
LogicGep,{BASC A},0.8376068376068376,0.37777777777777777,0.25,0.2777777777777778,0.2631578947368421
LogicGep,{K-Means},0.6581196581196581,0.4444444444444444,0.26666666666666666,0.2222222222222222,0.24242424242424243
LogicGep,{Onestep},0.8376068376068376,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889
LogicGep,"{BASC A, K-Means}",0.8376068376068376,0.37777777777777777,0.25,0.2777777777777778,0.2631578947368421
LogicGep,"{BASC A, Onestep}",0.8376068376068376,0.4444444444444444,0.34782608695652173,0.4444444444444444,0.3902439024390244
LogicGep,"{K-Means, Onestep}",0.8376068376068376,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889
LogicGep,"{BASC A, K-Means, Onestep}",0.8205128205128205,0.4,0.2,0.16666666666666666,0.18181818181818182
Bestfit,{BASC A},Cannot be calculated,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857
Bestfit,{K-Means},0.46153846153846145,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
Bestfit,{Onestep},Cannot be calculated,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.30303030303030304
Bestfit,"{BASC A, K-Means}",Cannot be calculated,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857
Bestfit,"{BASC A, Onestep}",Cannot be calculated,0.5333333333333333,0.3333333333333333,0.16666666666666666,0.2222222222222222
Bestfit,"{K-Means, Onestep}",Cannot be calculated,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.30303030303030304
Bestfit,"{BASC A, K-Means, Onestep}",Cannot be calculated,0.5111111111111111,0.375,0.3333333333333333,0.35294117647058826
