Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
MIBNI,{BASC A},0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754
MIBNI,{K-Means},0.7179487179487178,0.4,0.4,1.0,0.5714285714285714
MIBNI,{Onestep},0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278
MIBNI,"{BASC A, K-Means}",0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754
MIBNI,"{BASC A, Onestep}",0.8034188034188035,0.4,0.38461538461538464,0.8333333333333334,0.5263157894736842
MIBNI,"{K-Means, Onestep}",0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278
MIBNI,"{BASC A, K-Means, Onestep}",0.7521367521367521,0.4222222222222222,0.40476190476190477,0.9444444444444444,0.5666666666666667
LogicGep,{BASC A},0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444
LogicGep,{K-Means},0.6923076923076923,0.5555555555555556,0.4166666666666667,0.2777777777777778,0.3333333333333333
LogicGep,{Onestep},0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667
LogicGep,"{BASC A, K-Means}",0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444
LogicGep,"{BASC A, Onestep}",0.7948717948717948,0.5555555555555556,0.45,0.5,0.47368421052631576
LogicGep,"{K-Means, Onestep}",0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667
LogicGep,"{BASC A, K-Means, Onestep}",0.7350427350427351,0.6,0.5,0.3333333333333333,0.4
Bestfit,{BASC A},0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.36363636363636365
Bestfit,{K-Means},0.4786324786324786,0.4222222222222222,0.2777777777777778,0.2777777777777778,0.2777777777777778
Bestfit,{Onestep},0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25
Bestfit,"{BASC A, K-Means}",0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.36363636363636365
Bestfit,"{BASC A, Onestep}",0.7350427350427351,0.4888888888888889,0.3076923076923077,0.2222222222222222,0.25806451612903225
Bestfit,"{K-Means, Onestep}",0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25
Bestfit,"{BASC A, K-Means, Onestep}",0.5128205128205128,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889
