,variable,value
0,K-Means,0.10664730239203124
1,K-Means,0.11743216269309523
2,K-Means,0.17144245939538463
3,K-Means,0.17245507152251388
4,K-Means,0.1478947638939643
5,K-Means,0.04409839307048208
6,K-Means,0.07835193798461239
7,K-Means,0.3282446829394445
8,K-Means,0.08755977175477751
9,K-Means,0.11511161624644722
10,K-Means,0.10548019937582793
11,K-Means,0.10542411653231883
12,K-Means,0.09995220045029643
13,K-Means,0.0959841561143821
14,K-Means,0.09811662566970605
15,K-Means,0.11436509556788177
16,K-Means,0.1059612367562969
17,K-Means,0.44583635859279275
18,K-Means,0.4011188257639709
19,K-Means,0.867924648375755
20,K-Means,0.571213520849944
21,K-Means,0.6970197730348999
22,K-Means,0.5804278313780407
23,K-Means,0.47153419521890094
24,K-Means,0.7122119843320396
25,K-Means,0.7898250144325495
26,K-Means,0.528098132084665
27,K-Means,0.0878241809134329
28,K-Means,0.626240875053337
29,K-Means,0.6960601773260673
30,K-Means,0.8682001116882898
31,K-Means,0.5588846677832204
32,K-Means,0.6966170600407868
33,K-Means,0.8031144867747847
34,K-Means,0.10833735625496328
35,K-Means,0.5033521537051647
36,K-Means,0.47425460246048956
37,K-Means,0.579914587067714
38,K-Means,0.6831094899834709
39,K-Means,0.8677572313242408
40,K-Means,0.7310285234871934
41,K-Means,0.5765086699840843
42,K-Means,0.8292453560239237
43,K-Means,0.44126169882464283
44,K-Means,0.5135808745447852
45,K-Means,0.5031752050826896
46,K-Means,0.6443657234126846
47,K-Means,0.6265789512691546
48,K-Means,0.38661126958868625
49,K-Means,0.3573306937020897
50,K-Means,0.8776630004938792
51,K-Means,0.35226758973855354
52,K-Means,0.3986493561184268
53,K-Means,0.5818689013076589
54,K-Means,0.8003218828389621
55,K-Means,0.5993220171422176
56,K-Means,0.7891731811593865
57,K-Means,0.09360649527720255
58,K-Means,0.850486831159815
59,K-Means,0.09455111522343594
60,K-Means,0.7531743571719809
61,K-Means,0.7475871310716689
62,K-Means,0.430213784937159
63,K-Means,0.6176975853793608
64,K-Means,0.7441001103573488
65,K-Means,0.1017071188444066
66,K-Means,0.41771935933275567
67,K-Means,0.38783445256115034
68,K-Means,0.6837709726652461
69,K-Means,0.8218523852245905
70,K-Means,0.6881178920016199
71,K-Means,0.5251711826648164
72,K-Means,0.7615033936788358
73,K-Means,0.7570925096821165
74,K-Means,0.5674765101720192
75,K-Means,0.8507962447383229
76,K-Means,0.33263200295987166
77,K-Means,0.11507123163560379
78,K-Means,0.8186741266125042
79,K-Means,0.6351833442422437
80,K-Means,0.3528786655354072
81,K-Means,0.42809671017363354
82,K-Means,0.693728084190285
83,K-Means,0.5399309493131993
84,K-Means,0.46690043094982014
85,K-Means,0.5380479605942488
86,K-Means,0.09004967300324437
87,K-Means,0.6034052384509705
88,K-Means,0.6451114362896021
89,K-Means,0.6525546337702564
90,K-Means,0.7179817520099288
91,K-Means,0.6902971414244179
92,K-Means,0.6589996891149397
93,K-Means,0.6696046718318944
94,K-Means,0.4558227036228363
95,K-Means,0.4391875287354836
96,K-Means,0.7207505790894126
97,K-Means,0.7821692302138182
98,K-Means,0.4523913529676402
99,K-Means,0.5712366349763265
100,K-Means,0.7935437511579045
101,K-Means,0.863185152981017
102,K-Means,0.6387491281087142
103,K-Means,0.6707088501452614
104,K-Means,0.4956136920561992
105,K-Means,0.6527653690433548
106,K-Means,0.6332556850000353
107,K-Means,0.47030601295645874
108,K-Means,0.6892453674130656
109,K-Means,0.703051015441994
110,K-Means,0.5167426590275456
111,K-Means,0.5480071438714382
